rail,start,end,samples,duration_s,baseline_v,threshold_v,min_v,avg_v,drop_pct,severity,avg_cpu_percent,avg_arm_temp,avg_VDD_CORE_A
BATT_V,2026-04-13 10:50:30,2026-04-13 11:10:30,563,1202.0,0.008547,0.008291,0.002564,0.003349,70.0,critical,0.7504,62.2531,1.2316
3V7_WL_SW_V,2026-04-13 11:01:00,2026-04-13 11:01:00,1,2.0,3.699776,3.588783,3.536455,3.536455,4.414,warning,10.5,65.3,5.2598
3V7_WL_SW_V,2026-04-13 11:05:12,2026-04-13 11:05:12,1,2.0,3.699776,3.588783,3.57079,3.57079,3.486,info,0.0,62.0,0.9644
3V7_WL_SW_V,2026-04-13 11:01:42,2026-04-13 11:01:42,1,2.0,3.699776,3.588783,3.57543,3.57543,3.361,info,1.5,64.2,1.5895
3V7_WL_SW_V,2026-04-13 11:01:55,2026-04-13 11:01:55,1,2.0,3.699776,3.588783,3.576358,3.576358,3.336,info,1.5,63.7,1.5895
3V7_WL_SW_V,2026-04-13 10:58:22,2026-04-13 10:58:22,1,2.0,3.699776,3.588783,3.587493,3.587493,3.035,info,0.0,60.4,0.9555
