timestamp,latency_min_ms,latency_avg_ms,latency_max_ms,latency_stddev_ms,packet_loss_pct,download_bps,download_mbps
2026-04-15 17:20:42,44.605,63.895,80.102,13.020,0,71070,0.071
2026-04-15 17:21:00,43.855,63.078,85.537,17.702,0,143644,0.144
2026-04-15 17:21:12,39.002,71.978,125.110,30.415,0,149826,0.150
2026-04-15 17:21:22,48.950,80.140,103.082,18.699,0,118440,0.118
2026-04-15 17:21:35,46.994,81.506,124.398,29.640,0,71665,0.072
2026-04-15 17:21:54,44.125,64.346,86.822,18.233,0,124875,0.125
2026-04-15 17:22:06,49.264,53.104,62.116,4.668,0,97602,0.098
2026-04-15 17:22:20,41.859,61.811,78.829,14.249,0,166063,0.166
2026-04-15 17:22:31,43.607,57.945,95.827,19.480,0,147594,0.148
2026-04-15 17:22:42,51.990,67.661,76.697,8.381,0,98552,0.099
2026-04-15 17:22:56,45.392,73.139,100.066,21.967,0,73731,0.074
2026-04-15 17:23:14,43.063,61.036,85.967,15.411,0,119308,0.119
2026-04-15 17:23:27,49.381,100.206,230.003,65.641,0,83029,0.083
2026-04-15 17:23:43,58.130,76.064,85.962,9.525,0,92799,0.093
2026-04-15 17:23:58,53.950,63.460,73.125,6.489,0,124119,0.124
2026-04-15 17:24:11,41.937,64.439,96.048,20.861,0,41290,0.041
2026-04-15 17:24:40,52.046,61.551,74.249,9.230,0,0,0.000
2026-04-15 17:25:14,52.821,107.558,318.939,105.707,0,40850,0.041
