timestamp,cpu_percent,arm_mhz,core_mhz,h264_mhz,isp_mhz,v3d_mhz,uart_mhz,pwm_mhz,emmc_mhz,pixel_mhz,vec_mhz,hdmi_mhz,dpi_mhz,arm_temp,core_volt,sdram_c_volt,sdram_i_volt,sdram_p_volt,3V7_WL_SW_A,3V3_SYS_A,1V8_SYS_A,DDR_VDD2_A,DDR_VDDQ_A,1V1_SYS_A,0V8_SW_A,VDD_CORE_A,3V3_DAC_A,3V3_ADC_A,0V8_AON_A,HDMI_A,3V7_WL_SW_V,3V3_SYS_V,1V8_SYS_V,DDR_VDD2_V,DDR_VDDQ_V,1V1_SYS_V,0V8_SW_V,VDD_CORE_V,3V3_DAC_V,3V3_ADC_V,0V8_AON_V,HDMI_V,EXT5V_V,BATT_V,readmr_4,readmr_5,readmr_6,readmr_8,throttle_hex,UV,ArmFreqCap,CurThrottle,SoftTempLimit,UV_occured,ArmFreqCap_occured,Throttle_occured,SoftTempLimit_occured
2026-04-15 11:49:03,3.7,2000,910,,910,960,44,,200,,,648,,57.6,0.8959,0.6000,0.6000,1.1000,0.00000000,0.08880963,0.16590810,0.00195186,0.00000000,0.20396940,0.32986440,2.00925000,0.00042735,0.00042735,0.00451770,0.02722830,3.70070400,3.29518600,1.79389300,1.10805800,0.61611660,1.10366200,0.79926660,0.90014570,3.30219400,3.30494200,0.79912020,5.03572000,5.01562000,0.00940170, 2, 255, 7, 24,0x0,No,No,No,No,No,No,No,No
2026-04-15 11:49:06,0.0,2000,910,,910,960,44,,200,,,648,,57.1,0.8959,0.6000,0.6000,1.1000,0.00000000,0.08685777,0.16395620,0.00683151,0.00000000,0.20592120,0.33376810,2.00925000,0.00067155,0.00103785,0.00433455,0.02710620,3.70070400,3.30724900,1.78852100,1.10292900,0.61758180,1.10256300,0.79890030,0.89960840,3.30311000,3.30494200,0.79941320,5.02634000,5.02634000,0.00940170, 2, 255, 7, 24,0x0,No,No,No,No,No,No,No,No
2026-04-15 11:49:08,0.0,2000,910,,910,960,44,,200,,,648,,57.1,0.8959,0.6000,0.6000,1.1000,0.00000000,0.09076149,0.16298030,0.00390372,0.00000000,0.20104160,0.33474400,2.00032000,0.00042735,0.00042735,0.00439560,0.02710620,3.69977600,3.32766400,1.80659200,1.10622600,0.61575030,1.10292900,0.79963290,0.89987700,3.30219400,3.30311000,0.79882700,5.00624000,5.01562000,0.00940170, 2, 255, 7, 24,0x0,No,No,No,No,No,No,No,No
2026-04-15 11:49:10,0.0,2000,910,,910,960,44,,200,,,648,,57.6,0.8959,0.6000,0.6000,1.1000,0.00000000,0.08978556,0.16395620,0.00585558,0.00000000,0.20299340,0.33181620,2.01818000,0.00042735,0.00103785,0.00427350,0.02698410,3.69977600,3.29518600,1.81684800,1.10842400,0.61648290,1.10366200,0.79963290,0.90041420,3.30402600,3.30402600,0.79941320,5.02098000,5.02634000,0.00940170, 2, 255, 7, 24,0x0,No,No,No,No,No,No,No,No
2026-04-15 11:49:12,0.0,2000,910,,910,960,44,,200,,,648,,59.3,0.8959,0.6000,0.6000,1.1000,0.00000000,0.09076149,0.16493220,0.00683151,0.00000000,0.20494530,0.33474400,2.00925000,0.00061050,0.00042735,0.00494505,0.02686200,3.69977600,3.32580900,1.79828900,1.10512700,0.61575030,1.10366200,0.79999920,0.89987700,3.30402600,3.30402600,0.79882700,5.02902000,5.02634000,0.00940170, 2, 255, 7, 24,0x0,No,No,No,No,No,No,No,No
2026-04-15 11:49:14,1.5,2000,910,,910,960,44,,200,,,648,,57.1,0.8959,0.6000,0.6000,1.1000,0.00000000,0.08978556,0.16395620,0.00487965,0.00000000,0.20201750,0.33376810,2.00032000,0.00061050,0.00103785,0.00427350,0.02735040,3.70163200,3.31838500,1.81684800,1.10769100,0.61684920,1.10073200,0.79999920,0.89987700,3.30219400,3.30311000,0.79882700,5.02499900,5.02634000,0.00854700, 2, 255, 7, 24,0x0,No,No,No,No,No,No,No,No
2026-04-15 11:49:16,0.0,2000,910,,910,960,44,,200,,,648,,58.2,0.8959,0.6000,0.6000,1.1000,0.00000000,0.09076149,0.16590810,0.00780744,0.00000000,0.21763240,0.33474400,2.00032000,0.00067155,0.00067155,0.00433455,0.02698410,3.69977600,3.29518600,1.81684800,1.10439400,0.61501770,1.10476100,0.79999920,0.89987700,3.30127900,3.30402600,0.79882700,5.01562000,5.02499900,0.00854700, 2, 255, 7, 24,0x0,No,No,No,No,No,No,No,No
2026-04-15 11:49:19,1.0,1500,500,,500,500,44,,200,,,648,,58.2,0.8959,0.6000,0.6000,1.1000,0.00000000,0.09173742,0.16395620,0.00780744,0.00000000,0.20104160,0.33474400,2.00032000,0.00042735,0.00067155,0.00457875,0.02698410,3.69977600,3.29982600,1.79926600,1.10292900,0.61648290,1.10366200,0.79999920,0.90041420,3.30127900,3.30311000,0.79824100,5.02098000,5.02768000,0.00940170, 2, 255, 7, 24,0x0,No,No,No,No,No,No,No,No
2026-04-15 11:49:21,0.0,2000,910,,910,960,44,,200,,,648,,59.3,0.8959,0.6000,0.6000,1.1000,0.00000000,0.08783370,0.16200440,0.00487965,0.00000000,0.20396940,0.33376810,2.02711000,0.00061050,0.00103785,0.00433455,0.02661780,3.69977600,3.30353800,1.81684800,1.10769100,0.61684920,1.10366200,0.80036550,0.90014570,3.30311000,3.30494200,0.79999920,5.02499900,5.02499900,0.00940170, 2, 255, 7, 24,0x0,No,No,No,No,No,No,No,No
2026-04-15 11:49:23,0.0,2000,910,,910,960,44,,200,,,648,,59.3,0.8959,0.6000,0.6000,1.1000,0.00000000,0.09271335,0.16590810,0.00292779,0.00000000,0.20299340,0.33376810,2.01818000,0.00061050,0.00091575,0.00457875,0.02698410,3.70070400,3.30168200,1.79828900,1.10769100,0.61538400,1.10366200,0.80073180,0.89960840,3.30311000,3.30494200,0.79941320,5.00490000,5.02232000,0.00940170, 2, 255, 7, 24,0x0,No,No,No,No,No,No,No,No
2026-04-15 11:49:25,0.0,1500,500,,500,500,44,,200,,,648,,56.0,0.7200,0.6000,0.6000,1.1000,0.00000000,0.08783370,0.16005250,0.00390372,0.00000000,0.21470460,0.33474400,1.33950000,0.00036630,0.00067155,0.00451770,0.02698410,3.69977600,3.29518600,1.79096300,1.10732500,0.61575030,1.10366200,0.79999920,0.72097620,3.30402600,3.30402600,0.79941320,5.05314000,5.04510000,0.00854700, 2, 255, 7, 24,0x0,No,No,No,No,No,No,No,No
2026-04-15 11:49:27,0.0,1500,500,,500,500,44,,200,,,648,,55.4,0.7200,0.6000,0.6000,1.1000,0.00000000,0.09856894,0.15810070,0.00292779,0.00000000,0.21470460,0.33571990,1.33057000,0.00054945,0.00091575,0.00488400,0.02735040,3.70070400,3.32952100,1.80024200,1.10695900,0.61538400,1.10476100,0.79963290,0.72070740,3.30311000,3.30494200,0.79853400,5.06252000,5.04778000,0.00854700, 2, 255, 7, 24,0x0,No,No,No,No,No,No,No,No
2026-04-15 11:49:29,1.5,2000,910,,910,960,44,,200,,,648,,56.5,0.8959,0.6000,0.6000,1.1000,0.00000000,0.08783370,0.15907660,0.00585558,0.00000000,0.20201750,0.33669580,1.96460000,0.00042735,0.00067155,0.00439560,0.02698410,3.70070400,3.29518600,1.82124300,1.11062200,0.61611660,1.10146400,0.80036550,0.89960840,3.30311000,3.30494200,0.79941320,5.02634000,5.02768000,0.00854700, 2, 255, 7, 24,0x0,No,No,No,No,No,No,No,No
2026-04-15 11:49:31,0.0,2000,910,,910,960,44,,200,,,648,,58.2,0.8959,0.6000,0.6000,1.1000,0.00000000,0.08880963,0.16395620,0.00292779,0.00000000,0.20396940,0.32888840,1.98246000,0.00067155,0.00103785,0.00433455,0.02735040,3.70070400,3.31931300,1.81684800,1.10439400,0.61648290,1.10439400,0.79963290,0.89960840,3.30311000,3.30494200,0.79794790,5.02499900,5.02634000,0.00854700, 2, 255, 7, 24,0x0,No,No,No,No,No,No,No,No
2026-04-15 11:49:34,4.3,2000,910,,910,960,44,,200,,,648,,58.2,0.8959,0.6000,0.6000,1.1000,0.00000000,0.10344860,0.16395620,0.00780744,0.00000000,0.20299340,0.33376810,2.00925000,0.00054945,0.00067155,0.00433455,0.02698410,3.69977600,3.29333000,1.81684800,1.10512700,0.61501770,1.10476100,0.79890030,0.89933980,3.30127900,3.30311000,0.79882700,5.02902000,5.02634000,0.00940170, 2, 255, 7, 24,0x0,No,No,No,No,No,No,No,No
2026-04-15 11:49:36,0.0,2000,910,,910,960,44,,200,,,648,,58.7,0.8959,0.6000,0.6000,1.1000,0.00000000,0.09076149,0.16200440,0.00683151,0.00000000,0.20494530,0.33571990,2.00032000,0.00042735,0.00067155,0.00451770,0.02686200,3.70070400,3.29240200,1.78900900,1.10292900,0.61648290,1.10146400,0.80109810,0.90041420,3.30402600,3.30402600,0.79853400,5.02098000,5.01830000,0.00940170, 2, 255, 7, 24,0x0,No,No,No,No,No,No,No,No
2026-04-15 11:49:38,0.5,2000,910,,910,960,44,,200,,,648,,58.7,0.8959,0.6000,0.6000,1.1000,0.00000000,0.09076149,0.16200440,0.00683151,0.00000000,0.20299340,0.33181620,2.00925000,0.00061050,0.00115995,0.00427350,0.02673990,3.70256000,3.31188900,1.81733600,1.10439400,0.61281990,1.10402800,0.79890030,0.89987700,3.30219400,3.30311000,0.79882700,5.02768000,5.01562000,0.00940170, 2, 255, 7, 24,0x0,No,No,No,No,No,No,No,No
2026-04-15 11:49:40,1.7,1500,500,,500,500,44,,200,,,648,,56.5,0.7200,0.6000,0.6000,1.1000,0.00000000,0.09076149,0.16102850,0.00487965,0.00000000,0.20494530,0.33571990,1.34843000,0.00054945,0.00042735,0.00445665,0.02710620,3.69977600,3.30168200,1.79828900,1.10769100,0.60769170,1.10366200,0.79926660,0.72097620,3.30036300,3.30402600,0.79853400,5.05314000,5.06788000,0.00854700, 2, 255, 7, 24,0x0,No,No,No,No,No,No,No,No
2026-04-15 11:49:42,7.5,1600,582,,582,592,44,,200,,,648,,57.1,0.7859,0.6000,0.6000,1.1000,0.00000000,0.16883590,0.16200440,0.00585558,0.00000000,0.35719040,0.48698910,1.53596000,0.00067155,0.00067155,0.00427350,0.02722830,3.69977600,3.29333000,1.81733600,1.10402800,0.60329610,1.09999900,0.79963290,0.79054870,3.30219400,3.30311000,0.79912020,4.99284000,4.96738000,0.00940170, 2, 255, 7, 24,0x0,No,No,No,No,No,No,No,No
2026-04-15 11:49:45,9.0,2000,910,,910,960,44,,200,,,648,,57.6,0.8959,0.6000,0.6000,1.1000,0.05562801,0.12199130,0.16102850,0.00390372,0.00000000,0.36011820,0.48406130,2.05390000,0.00042735,0.00103785,0.00427350,0.02722830,3.71184000,3.29333000,1.81684800,1.10439400,0.60402870,1.10073200,0.79999920,0.90041420,3.30402600,3.30494200,0.79970620,4.93522000,4.95800000,0.00854700, 2, 255, 7, 24,0x0,No,No,No,No,No,No,No,No
2026-04-15 11:49:47,6.3,2000,910,,910,960,44,,200,,,648,,59.3,0.8959,0.6000,0.6000,1.1000,0.06148359,0.12003940,0.16298030,0.00878337,0.00000000,0.35816630,0.48796500,2.81295000,0.00097680,0.00079365,0.00488400,0.02735040,3.69977600,3.30724900,1.79926600,1.10732500,0.60695910,1.09999900,0.79926660,0.90041420,3.30402600,3.30311000,0.79912020,4.90440000,4.92182000,0.00940170, 2, 255, 7, 24,0x0,No,No,No,No,No,No,No,No
2026-04-15 11:49:49,5.8,2000,910,,910,960,44,,200,,,648,,59.8,0.8959,0.6000,0.6000,1.1000,0.00000000,0.12101530,0.16102850,0.00780744,0.00000000,0.35914220,0.48406130,2.06283000,0.00054945,0.00067155,0.00427350,0.02710620,3.69977600,3.30724900,1.79926600,1.10769100,0.60622650,1.09963300,0.79963290,0.90014570,3.30311000,3.30494200,0.79794790,4.96202000,4.94862000,0.00940170, 2, 255, 7, 24,0x0,No,No,No,No,No,No,No,No
2026-04-15 11:49:51,6.0,2000,910,,910,960,44,,200,,,648,,59.8,0.8959,0.6000,0.6000,1.1000,0.00000000,0.12003940,0.16493220,0.00878337,0.00000000,0.36011820,0.48601320,2.05390000,0.00054945,0.00103785,0.00427350,0.02698410,3.69977600,3.30353800,1.81684800,1.10292900,0.60695910,1.10036500,0.79926660,0.89987700,3.30219400,3.30768900,0.79882700,4.96336000,4.96336000,0.00940170, 2, 255, 7, 24,0x0,No,No,No,No,No,No,No,No
