timestamp,latency_min_ms,latency_avg_ms,latency_max_ms,latency_stddev_ms,packet_loss_pct,download_bps,download_mbps
2026-04-16 09:55:31,67.146,88.193,108.376,16.210,0,114775,0.115
2026-04-16 09:55:44,61.897,86.351,128.357,25.475,0,68886,0.069
2026-04-16 09:56:03,68.999,87.295,114.595,18.489,0,156260,0.156
2026-04-16 09:56:14,69.877,88.042,98.992,9.715,0,207824,0.208
2026-04-16 09:56:23,63.317,81.111,88.497,9.114,0,110574,0.111
2026-04-16 09:56:36,60.857,73.677,82.120,7.056,0,153608,0.154
2026-04-16 09:56:47,62.021,81.898,106.068,18.722,0,110152,0.110
2026-04-16 09:57:00,74.135,80.079,86.976,5.411,0,104826,0.105
2026-04-16 09:57:14,60.051,79.893,86.990,10.036,0,107061,0.107
2026-04-16 09:57:28,57.108,65.548,86.996,10.930,0,132925,0.133
2026-04-16 09:57:40,69.141,74.337,81.298,4.559,0,174395,0.174
2026-04-16 09:57:50,64.137,89.757,104.654,14.774,0,147315,0.147
2026-04-16 09:58:01,75.763,81.692,94.537,7.072,0,128406,0.128
2026-04-16 09:58:13,75.491,81.703,88.135,4.397,0,89710,0.090
2026-04-16 09:58:28,80.760,87.750,92.869,4.232,0,113159,0.113
2026-04-16 09:58:41,63.139,69.045,77.962,5.426,0,80154,0.080
2026-04-16 09:58:58,62.750,74.160,82.128,6.460,0,110528,0.111
2026-04-16 09:59:12,64.981,77.919,106.031,15.728,0,65261,0.065
2026-04-16 09:59:31,81.118,86.847,94.218,5.290,0,65710,0.066
2026-04-16 09:59:51,67.109,77.855,105.103,14.014,0,106337,0.106
2026-04-16 10:00:05,64.158,82.330,104.005,17.432,0,119377,0.119
2026-04-16 10:00:18,69.225,78.431,81.021,4.611,0,149209,0.149
2026-04-16 10:00:29,61.557,70.972,81.992,6.508,0,105720,0.106
