timestamp,cpu_cores,temp_c,ram_total,ram_used,ram_free,swap_total,swap_used,swap_free,disk_read,disk_write,disk_percent,throttled
2026-02-19T17:02:04.168509+00:00,0.0|0.0|0.0|0.0,62.25,8443478016,258899968,7856324608,536854528,0,536854528,380593152,89915904,19.6,throttled=0x0
2026-02-19T17:02:05.182472+00:00,0.0|0.0|0.0|0.0,61.7,8443478016,258768896,7856078848,536854528,0,536854528,380662784,89973248,19.6,throttled=0x0
2026-02-19T17:02:06.192735+00:00,1.0|0.0|0.0|0.0,62.25,8443478016,260816896,7814545408,536854528,0,536854528,418243584,89989632,19.6,throttled=0x0
2026-02-19T17:02:07.208907+00:00,0.0|1.0|0.0|0.0,61.7,8443478016,260390912,7809138688,536854528,0,536854528,423773184,90006016,19.6,throttled=0x0
2026-02-19T17:02:08.218264+00:00,0.0|6.1|0.0|0.0,61.7,8443478016,260489216,7808647168,536854528,0,536854528,424150016,90595840,19.6,throttled=0x0
2026-02-19T17:02:09.229369+00:00,6.9|0.0|0.0|1.0,62.8,8443478016,368099328,7700430848,536854528,0,536854528,424768512,90681856,19.6,throttled=0x0
2026-02-19T17:02:10.238793+00:00,25.7|0.0|0.0|4.0,62.8,8443478016,713949184,7354400768,536854528,0,536854528,424768512,90726912,19.6,throttled=0x0
2026-02-19T17:02:11.253966+00:00,100.0|0.0|0.0|5.9,65.0,8443478016,728449024,7339900928,536854528,0,536854528,424768512,90743296,19.6,throttled=0x0
2026-02-19T17:02:12.265812+00:00,99.0|0.0|0.0|3.0,64.45,8443478016,734363648,7333511168,536854528,0,536854528,425227264,90759680,19.6,throttled=0x0
2026-02-19T17:02:13.380951+00:00,57.1|1.8|0.9|1.8,64.45,8443478016,373030912,7694811136,536854528,0,536854528,425227264,91349504,19.6,throttled=0x0
2026-02-19T17:02:14.389035+00:00,0.0|27.7|0.0|3.0,64.45,8443478016,721764352,7346077696,536854528,0,536854528,425227264,91394560,19.6,throttled=0x0
