timestamp,cpu_cores,temp_c,ram_total,ram_used,ram_free,swap_total,swap_used,swap_free,disk_read,disk_write,disk_percent,throttled
2026-02-26T14:52:23.529071+00:00,0.0|0.0|100.0|0.0,58.4,8454799360,319750144,7916830720,536854528,0,536854528,203499520,164450816,39.7,throttled=0x0
2026-02-26T14:52:24.561881+00:00,3.9|0.0|0.0|0.0,58.95,8454799360,325189632,7910850560,536854528,0,536854528,203876352,164856320,39.7,throttled=0x0
2026-02-26T14:52:25.577001+00:00,1.0|8.9|0.0|2.9,57.85,8454799360,456327168,7778975744,536854528,0,536854528,204498944,165007872,39.7,throttled=0x0
2026-02-26T14:52:26.592883+00:00,32.4|31.7|68.6|5.0,60.6,8454799360,829521920,7405780992,536854528,0,536854528,204957696,165065216,39.7,throttled=0x50000
2026-02-26T14:52:27.610677+00:00,100.0|100.0|9.0|100.0,63.35,8454799360,830603264,7404191744,536854528,0,536854528,204957696,167354880,39.7,throttled=0x50005
2026-02-26T14:52:28.624320+00:00,6.9|6.9|4.9|15.8,58.95,8454799360,516210688,7717814272,536854528,0,536854528,205383680,167440896,39.7,throttled=0x50000
2026-02-26T14:52:29.641173+00:00,32.4|32.0|65.3|3.9,61.7,8454799360,888963072,7344996352,536854528,0,536854528,205383680,167498240,39.7,throttled=0x50000
2026-02-26T14:52:30.652993+00:00,92.1|91.3|100.0|8.0,65.0,8454799360,887275520,7346667520,536854528,0,536854528,205383680,167522816,39.7,throttled=0x50000
2026-02-26T14:52:31.670927+00:00,13.7|17.0|19.6|3.9,61.15,8454799360,668090368,7564886016,536854528,0,536854528,206276608,167641600,39.7,throttled=0x50000
2026-02-26T14:52:32.686842+00:00,0.0|0.0|0.0|1.0,61.7,8454799360,619495424,7613480960,536854528,0,536854528,206276608,167698944,39.7,throttled=0x50000
2026-02-26T14:52:33.695733+00:00,0.0|0.0|0.0|2.0,60.05,8454799360,583827456,7649050624,536854528,0,536854528,206276608,167744000,39.7,throttled=0x50000
2026-02-26T14:52:34.705236+00:00,0.0|0.0|1.0|1.0,60.6,8454799360,562446336,7670431744,536854528,0,536854528,206276608,167768576,39.7,throttled=0x50000
