timestamp,cpu_cores,temp_c,ram_total,ram_used,ram_free,swap_total,swap_used,swap_free,disk_read,disk_write,disk_percent,throttled
2026-02-23T16:00:41.678753+00:00,0.0|0.0|0.0|0.0,62.25,8443478016,275267584,7818821632,536854528,0,536854528,348486656,93393408,23.2,throttled=0x0
2026-02-23T16:00:42.689865+00:00,1.0|0.0|1.0|10.0,62.8,8443478016,294076416,7799406592,536854528,0,536854528,348933120,93446656,23.2,throttled=0x0
2026-02-23T16:00:43.699423+00:00,0.0|1.0|0.0|4.9,62.8,8443478016,299106304,7793999872,536854528,0,536854528,348933120,93471232,23.2,throttled=0x0
2026-02-23T16:00:44.812555+00:00,0.0|7.2|0.9|11.7,62.8,8443478016,275660800,7817035776,536854528,0,536854528,349309952,95384064,23.2,throttled=0x0
2026-02-23T16:00:45.824063+00:00,0.0|0.0|0.0|0.0,61.7,8443478016,276152320,7816544256,536854528,0,536854528,349309952,95441408,23.2,throttled=0x0
2026-02-23T16:00:46.834730+00:00,0.0|0.0|0.0|0.0,63.9,8443478016,276152320,7816544256,536854528,0,536854528,349309952,95490560,23.2,throttled=0x0
2026-02-23T16:00:47.841549+00:00,4.0|0.0|1.0|0.0,63.35,8443478016,276152320,7816544256,536854528,0,536854528,349309952,95506944,23.2,throttled=0x0
2026-02-23T16:00:48.849210+00:00,1.0|0.0|0.0|0.0,62.25,8443478016,276152320,7816544256,536854528,0,536854528,349309952,95523328,23.2,throttled=0x0
2026-02-23T16:00:49.856133+00:00,0.0|0.0|0.0|1.0,62.25,8443478016,276152320,7816544256,536854528,0,536854528,349309952,95638016,23.2,throttled=0x0
2026-02-23T16:00:50.867274+00:00,0.0|0.0|1.0|0.0,61.7,8443478016,275906560,7816544256,536854528,0,536854528,349309952,95683072,23.2,throttled=0x0
2026-02-23T16:00:51.879165+00:00,0.0|6.0|0.0|0.0,62.8,8443478016,276119552,7816298496,536854528,0,536854528,349309952,95707648,23.2,throttled=0x0
2026-02-23T16:00:52.886421+00:00,1.0|0.0|0.0|0.0,62.8,8443478016,276594688,7815806976,536854528,0,536854528,349441024,95724032,23.2,throttled=0x0
2026-02-23T16:00:53.895653+00:00,0.0|0.0|1.0|0.0,61.7,8443478016,276578304,7815806976,536854528,0,536854528,349441024,95748608,23.2,throttled=0x0
2026-02-23T16:00:55.005984+00:00,0.0|0.0|0.9|0.0,62.8,8443478016,277544960,7814823936,536854528,0,536854528,349441024,95764992,23.2,throttled=0x0
2026-02-23T16:00:56.013059+00:00,0.0|5.9|0.0|0.0,63.35,8443478016,277102592,7814578176,536854528,0,536854528,349932544,96002560,23.2,throttled=0x0
2026-02-23T16:00:57.020703+00:00,6.1|0.0|2.0|0.0,62.25,8443478016,383647744,7706869760,536854528,0,536854528,350931968,96096768,23.2,throttled=0x0
2026-02-23T16:00:58.031255+00:00,69.3|42.6|44.6|43.1,66.65,8443478016,743669760,7346831360,536854528,0,536854528,350931968,96145920,23.2,throttled=0x0
2026-02-23T16:00:59.058795+00:00,98.0|65.0|68.6|66.0,67.75,8443478016,751796224,7338459136,536854528,0,536854528,351390720,96162304,23.2,throttled=0x0
2026-02-23T16:01:00.079041+00:00,100.0|100.0|100.0|100.0,68.85,8443478016,753270784,7336738816,536854528,0,536854528,351390720,97346048,23.2,throttled=0x0
2026-02-23T16:01:01.098964+00:00,48.0|45.1|42.2|42.6,66.65,8443478016,389726208,7700234240,536854528,0,536854528,351390720,97411584,23.2,throttled=0x0
2026-02-23T16:01:02.109163+00:00,31.7|7.9|4.0|3.0,67.2,8443478016,748027904,7341916160,536854528,0,536854528,351390720,97460736,23.2,throttled=0x0
2026-02-23T16:01:03.138305+00:00,95.1|66.3|67.0|63.7,69.4,8443478016,754384896,7335526400,536854528,0,536854528,351505408,97477120,23.2,throttled=0x0
2026-02-23T16:01:04.154509+00:00,100.0|100.0|100.0|100.0,71.05,8443478016,755253248,7334543360,536854528,0,536854528,351505408,97501696,23.2,throttled=0x0
2026-02-23T16:01:05.175319+00:00,68.9|62.5|61.8|67.0,68.3,8443478016,399360000,7690420224,536854528,0,536854528,352398336,98296320,23.2,throttled=0x0
2026-02-23T16:01:06.184766+00:00,2.0|1.0|1.0|8.0,67.75,8443478016,396722176,7692140544,536854528,0,536854528,352398336,98370048,23.2,throttled=0x0
2026-02-23T16:01:07.194739+00:00,0.0|0.0|0.0|0.0,67.2,8443478016,397131776,7691681792,536854528,0,536854528,352529408,98550272,23.2,throttled=0x0
2026-02-23T16:01:08.204785+00:00,62.4|42.2|35.6|33.7,68.3,8443478016,756695040,7331889152,536854528,0,536854528,352529408,99303936,23.2,throttled=0x50000
2026-02-23T16:01:09.277093+00:00,96.2|70.8|70.4|71.0,71.05,8443478016,762724352,7325794304,536854528,0,536854528,352529408,99938816,23.2,throttled=0x50000
2026-02-23T16:01:10.294773+00:00,100.0|100.0|100.0|100.0,72.15,8443478016,763183104,7325302784,536854528,0,536854528,352529408,99992064,23.2,throttled=0x50000
2026-02-23T16:01:11.314388+00:00,30.1|24.5|22.3|20.8,68.3,8443478016,402636800,7685849088,536854528,0,536854528,352529408,100057600,23.2,throttled=0x50000
2026-02-23T16:01:12.427744+00:00,36.6|29.7|28.8|50.0,71.05,8443478016,760168448,7328268288,536854528,0,536854528,352529408,100106752,23.2,throttled=0x50000
2026-02-23T16:01:13.459919+00:00,67.0|57.1|60.8|100.0,72.15,8443478016,765558784,7322861568,536854528,0,536854528,352660480,100123136,23.2,throttled=0x50000
2026-02-23T16:01:14.510441+00:00,100.0|100.0|100.0|100.0,73.8,8443478016,762363904,7325925376,536854528,0,536854528,352660480,100151808,23.2,throttled=0x50000
2026-02-23T16:01:15.537379+00:00,21.4|25.7|29.4|20.4,69.95,8443478016,400228352,7687962624,536854528,0,536854528,352660480,100270592,23.2,throttled=0x50000
2026-02-23T16:01:16.547627+00:00,2.0|2.9|5.0|15.8,69.4,8443478016,424165376,7663910912,536854528,0,536854528,352791552,100495872,23.2,throttled=0x50000
2026-02-23T16:01:17.555455+00:00,0.0|2.9|1.0|11.0,71.05,8443478016,401571840,7686373376,536854528,0,536854528,352791552,100680192,23.2,throttled=0x50000
2026-02-23T16:01:18.563697+00:00,41.6|43.6|49.5|92.1,70.5,8443478016,761757696,7326089216,536854528,0,536854528,352791552,100733440,23.2,throttled=0x50000
2026-02-23T16:01:19.580177+00:00,91.2|93.0|92.2|100.0,72.7,8443478016,767639552,7320190976,536854528,0,536854528,352791552,100758016,23.2,throttled=0x50000
2026-02-23T16:01:20.608931+00:00,91.1|90.4|91.3|87.5,73.25,8443478016,402735104,7685079040,536854528,0,536854528,352791552,100782592,23.2,throttled=0x50000
2026-02-23T16:01:21.618038+00:00,1.0|3.0|0.0|1.0,71.05,8443478016,402702336,7685079040,536854528,0,536854528,352791552,100844032,23.2,throttled=0x50000
2026-02-23T16:01:22.628209+00:00,41.6|43.6|51.0|74.3,71.05,8443478016,762396672,7325351936,536854528,0,536854528,352791552,100897280,23.2,throttled=0x50000
2026-02-23T16:01:23.638731+00:00,63.4|78.0|79.8|100.0,74.9,8443478016,768524288,7319191552,536854528,0,536854528,352922624,100913664,23.2,throttled=0x50000
2026-02-23T16:01:24.665467+00:00,94.1|96.2|95.1|84.3,74.9,8443478016,765444096,7322140672,536854528,0,536854528,352922624,100938240,23.2,throttled=0x50000
2026-02-23T16:01:25.673345+00:00,2.0|0.0|8.9|4.0,71.6,8443478016,405995520,7681523712,536854528,0,536854528,353004544,102687232,23.2,throttled=0x50000
2026-02-23T16:01:26.681362+00:00,1.0|1.0|4.0|1.0,70.5,8443478016,405962752,7681523712,536854528,0,536854528,353004544,102879744,23.2,throttled=0x50000
2026-02-23T16:01:27.690092+00:00,24.8|21.0|20.8|46.0,72.7,8443478016,764280832,7323205632,536854528,0,536854528,353004544,102932992,23.2,throttled=0x50000
2026-02-23T16:01:28.708574+00:00,70.3|72.3|66.7|95.1,74.9,8443478016,769196032,7318290432,536854528,0,536854528,353004544,102957568,23.2,throttled=0x50000
2026-02-23T16:01:29.723228+00:00,100.0|100.0|100.0|97.1,75.45,8443478016,769605632,7317798912,536854528,0,536854528,353004544,102973952,23.2,throttled=0x50000
2026-02-23T16:01:30.742657+00:00,48.0|43.7|44.2|42.0,72.7,8443478016,404455424,7682752512,536854528,0,536854528,353004544,103039488,23.2,throttled=0x50000
2026-02-23T16:01:31.833646+00:00,33.9|9.3|11.1|11.0,73.8,8443478016,762281984,7324925952,536854528,0,536854528,353004544,103928320,23.2,throttled=0x50000
2026-02-23T16:01:32.884034+00:00,60.4|94.3|68.6|58.9,76.0,8443478016,765968384,7321239552,536854528,0,536854528,353004544,103944704,23.2,throttled=0x50000
2026-02-23T16:01:33.910985+00:00,100.0|100.0|100.0|100.0,76.55,8443478016,766197760,7320993792,536854528,0,536854528,353004544,103969280,23.2,throttled=0x50000
2026-02-23T16:01:34.923026+00:00,36.3|60.4|58.4|50.5,73.8,8443478016,405667840,7681277952,536854528,0,536854528,353381376,104083968,23.2,throttled=0x50000
2026-02-23T16:01:35.933371+00:00,2.0|4.9|1.0|0.0,71.6,8443478016,406536192,7680360448,536854528,0,536854528,353381376,104178176,23.2,throttled=0x50000
2026-02-23T16:01:36.944780+00:00,5.1|0.0|0.0|0.0,71.05,8443478016,406503424,7680360448,536854528,0,536854528,353381376,104378880,23.2,throttled=0x50000
2026-02-23T16:01:37.959696+00:00,46.5|43.6|71.3|39.2,75.45,8443478016,763985920,7322779648,536854528,0,536854528,353381376,104432128,23.2,throttled=0x50000
2026-02-23T16:01:38.977578+00:00,66.0|63.7|98.1|68.6,75.45,8443478016,765460480,7321305088,536854528,0,536854528,353381376,104448512,23.2,throttled=0x50000
2026-02-23T16:01:40.003604+00:00,100.0|100.0|100.0|100.0,78.2,8443478016,765689856,7321059328,536854528,0,536854528,353381376,104473088,23.2,throttled=0x50000
2026-02-23T16:01:41.015759+00:00,20.8|22.8|29.7|22.8,74.35,8443478016,405438464,7681114112,536854528,0,536854528,353381376,104530432,23.2,throttled=0x50000
2026-02-23T16:01:42.031571+00:00,20.8|26.7|49.0|20.8,76.0,8443478016,766164992,7320338432,536854528,0,536854528,353381376,104583680,23.2,throttled=0x50000
2026-02-23T16:01:43.045502+00:00,63.0|63.7|99.0|68.6,77.65,8443478016,766164992,7320338432,536854528,0,536854528,353381376,104600064,23.2,throttled=0x50000
2026-02-23T16:01:44.065653+00:00,100.0|100.0|100.0|100.0,77.65,8443478016,766148608,7320338432,536854528,0,536854528,353381376,104624640,23.2,throttled=0x50000
2026-02-23T16:01:45.078263+00:00,43.0|49.0|49.5|43.6,76.55,8443478016,406077440,7680376832,536854528,0,536854528,353463296,104731136,23.2,throttled=0x50000
2026-02-23T16:01:46.087131+00:00,2.9|1.0|0.0|1.0,74.35,8443478016,406667264,7679672320,536854528,0,536854528,353463296,104825344,23.2,throttled=0x50000
2026-02-23T16:01:47.098945+00:00,4.0|0.0|0.0|2.0,74.35,8443478016,406634496,7679672320,536854528,0,536854528,353545216,105030144,23.2,throttled=0x50000
2026-02-23T16:01:48.115736+00:00,25.5|28.4|52.9|28.7,77.65,8443478016,766476288,7319650304,536854528,0,536854528,353545216,105083392,23.2,throttled=0x50000
2026-02-23T16:01:49.155350+00:00,71.4|68.3|99.0|69.2,77.1,8443478016,779730944,7306379264,536854528,0,536854528,353889280,105099776,23.2,throttled=0x50000
2026-02-23T16:01:50.167754+00:00,100.0|100.0|100.0|100.0,78.2,8443478016,790183936,7295565824,536854528,0,536854528,353889280,105124352,23.2,throttled=0x50000
2026-02-23T16:01:51.193496+00:00,34.3|29.8|31.4|10.8,75.45,8443478016,431554560,7654129664,536854528,0,536854528,353889280,105284096,23.2,throttled=0x50000
2026-02-23T16:01:52.207760+00:00,44.1|24.8|18.8|20.6,77.1,8443478016,764362752,7321174016,536854528,0,536854528,353954816,105378304,23.2,throttled=0x50000
2026-02-23T16:01:53.238601+00:00,89.3|59.2|58.7|62.5,76.55,8443478016,764608512,7320928256,536854528,0,536854528,353954816,105431552,23.2,throttled=0x50000
2026-02-23T16:01:54.264973+00:00,100.0|100.0|100.0|100.0,79.85,8443478016,765083648,7320436736,536854528,0,536854528,353954816,105456128,23.2,throttled=0x50000
2026-02-23T16:01:55.287477+00:00,62.1|63.1|55.3|57.8,76.0,8443478016,404733952,7680180224,536854528,0,536854528,354495488,105574912,23.2,throttled=0x50000
2026-02-23T16:01:56.300626+00:00,1.0|1.9|0.0|0.0,74.9,8443478016,404979712,7679934464,536854528,0,536854528,354561024,105673216,23.2,throttled=0x50000
2026-02-23T16:01:57.310545+00:00,2.0|4.0|0.0|1.0,73.8,8443478016,405143552,7679426560,536854528,0,536854528,354839552,107917824,23.2,throttled=0x50000
2026-02-23T16:01:58.322035+00:00,4.0|1.0|26.7|0.0,76.0,8443478016,757186560,7327252480,536854528,0,536854528,354839552,107971072,23.2,throttled=0x50000
2026-02-23T16:01:59.336369+00:00,58.8|62.4|97.0|62.4,78.2,8443478016,765296640,7319142400,536854528,0,536854528,354839552,107987456,23.2,throttled=0x50000
2026-02-23T16:02:00.362183+00:00,100.0|100.0|100.0|100.0,80.4,8443478016,765280256,7319142400,536854528,0,536854528,354839552,108012032,23.2,throttled=0x50000
2026-02-23T16:02:01.378979+00:00,70.6|73.3|77.5|71.3,77.1,8443478016,407044096,7677362176,536854528,0,536854528,354839552,108077568,23.2,throttled=0x50000
2026-02-23T16:02:02.388199+00:00,2.0|0.0|2.0|0.0,76.0,8443478016,436535296,7647870976,536854528,0,536854528,354839552,108126720,23.2,throttled=0x50000
2026-02-23T16:02:03.409663+00:00,48.0|45.6|97.1|44.7,78.75,8443478016,765607936,7318798336,536854528,0,536854528,354839552,108163584,23.2,throttled=0x50000
