timestamp,cpu_cores,temp_c,ram_total,ram_used,ram_free,swap_total,swap_used,swap_free,disk_read,disk_write,disk_percent,throttled
2026-02-18 12:24:05.141727,0.0|0.0|0.0|0.0,55.65,8443478016,280887296,7559397376,536854528,0,536854528,460190720,347173888,19.6,throttled=0x0
2026-02-18 12:24:06.154508,0.0|0.0|0.0|0.0,56.75,8443478016,280264704,7559151616,536854528,0,536854528,460260352,347231232,19.6,throttled=0x0
2026-02-18 12:24:07.162221,0.0|0.0|4.0|0.0,57.3,8443478016,280264704,7559151616,536854528,0,536854528,460260352,347386880,19.6,throttled=0x0
2026-02-18 12:24:08.172602,0.0|0.0|0.0|0.0,57.3,8443478016,280510464,7558905856,536854528,0,536854528,460260352,347440128,19.6,throttled=0x0
2026-02-18 12:24:09.179430,0.0|0.0|0.0|3.0,57.3,8443478016,286769152,7552516096,536854528,0,536854528,460260352,347456512,19.6,throttled=0x0
2026-02-18 12:24:10.186968,0.0|0.0|1.0|0.0,57.3,8443478016,287014912,7552270336,536854528,0,536854528,460260352,347485184,19.6,throttled=0x0
2026-02-18 12:24:11.197536,0.0|0.0|0.0|0.0,57.3,8443478016,287506432,7551778816,536854528,0,536854528,460260352,347501568,19.6,throttled=0x0
2026-02-18 12:24:12.207462,0.0|5.9|0.0|0.0,56.2,8443478016,287506432,7551778816,536854528,0,536854528,460260352,347657216,19.6,throttled=0x0
2026-02-18 12:24:13.216288,0.0|0.0|0.0|0.0,56.75,8443478016,287490048,7551778816,536854528,0,536854528,460260352,347710464,19.6,throttled=0x0
2026-02-18 12:24:14.226328,0.0|0.0|0.0|0.0,55.65,8443478016,287490048,7551778816,536854528,0,536854528,460260352,347726848,19.6,throttled=0x0
2026-02-18 12:24:15.234099,0.0|0.0|0.0|1.0,56.2,8443478016,287490048,7551778816,536854528,0,536854528,460260352,347743232,19.6,throttled=0x0
2026-02-18 12:24:16.241603,0.0|0.0|0.0|0.0,55.65,8443478016,287490048,7551778816,536854528,0,536854528,460260352,348201984,19.6,throttled=0x0
2026-02-18 12:24:17.293678,0.9|6.7|0.0|0.0,55.65,8443478016,287309824,7551778816,536854528,0,536854528,460260352,348873728,19.6,throttled=0x0
2026-02-18 12:24:18.304644,4.0|0.0|0.0|0.0,55.65,8443478016,287309824,7551778816,536854528,0,536854528,460260352,348926976,19.6,throttled=0x0
2026-02-18 12:24:19.313673,0.0|12.9|0.0|0.0,57.3,8443478016,300957696,7538016256,536854528,0,536854528,460260352,348943360,19.6,throttled=0x0
2026-02-18 12:24:20.322157,0.0|5.9|0.0|0.0,57.3,8443478016,308723712,7530397696,536854528,0,536854528,460260352,348963840,19.6,throttled=0x0
2026-02-18 12:24:21.329681,0.0|10.9|0.0|0.0,57.3,8443478016,284475392,7554531328,536854528,0,536854528,460260352,349168640,19.6,throttled=0x0
2026-02-18 12:24:22.426278,3.6|0.0|0.0|0.0,57.3,8443478016,284672000,7554285568,536854528,0,536854528,460260352,350413824,19.6,throttled=0x0
2026-02-18 12:24:23.436674,0.0|0.0|0.0|0.0,58.95,8443478016,286998528,7550107648,536854528,0,536854528,462169088,350467072,19.6,throttled=0x0
2026-02-18 12:24:24.483513,0.0|1.9|0.0|0.0,56.75,8443478016,287719424,7502184448,536854528,0,536854528,509223936,350483456,19.6,throttled=0x0
2026-02-18 12:24:25.496106,1.0|1.0|0.0|0.0,57.3,8443478016,287637504,7454261248,536854528,0,536854528,556426240,350499840,19.6,throttled=0x0
2026-02-18 12:24:26.512739,0.0|0.0|1.0|0.0,56.2,8443478016,288391168,7447871488,536854528,0,536854528,561767424,350516224,19.6,throttled=0x0
2026-02-18 12:24:27.523117,7.8|0.0|1.0|0.0,55.65,8443478016,288325632,7447871488,536854528,0,536854528,561767424,350680064,19.6,throttled=0x0
2026-02-18 12:24:28.532512,1.0|1.0|0.0|1.0,55.65,8443478016,288079872,7448117248,536854528,0,536854528,561767424,350733312,19.6,throttled=0x0
2026-02-18 12:24:29.541320,0.0|0.0|1.0|0.0,55.1,8443478016,288129024,7440007168,536854528,0,536854528,568828928,350749696,19.6,throttled=0x0
2026-02-18 12:24:30.563294,1.0|0.0|0.0|0.0,56.2,8443478016,287571968,7386923008,536854528,0,536854528,618324992,350766080,19.6,throttled=0x0
2026-02-18 12:24:31.581246,0.0|0.0|0.0|0.0,55.1,8443478016,288079872,7375618048,536854528,0,536854528,628589568,350782464,19.6,throttled=0x0
2026-02-18 12:24:32.592111,7.0|0.0|0.0|0.0,55.65,8443478016,288063488,7375618048,536854528,0,536854528,628589568,350958592,19.6,throttled=0x0
2026-02-18 12:24:33.600568,0.0|0.0|0.0|0.0,55.65,8443478016,288210944,7375388672,536854528,0,536854528,628589568,351011840,19.6,throttled=0x0
2026-02-18 12:24:34.609176,4.9|0.0|0.0|0.0,55.1,8443478016,288210944,7375388672,536854528,0,536854528,628589568,351028224,19.6,throttled=0x0
2026-02-18 12:24:35.617939,0.0|0.0|0.0|0.0,56.75,8443478016,288325632,7375142912,536854528,0,536854528,628589568,351044608,19.6,throttled=0x0
2026-02-18 12:24:36.628766,0.0|0.0|0.0|0.0,55.65,8443478016,288571392,7374897152,536854528,0,536854528,628589568,351060992,19.6,throttled=0x0
2026-02-18 12:24:37.637178,6.9|0.0|0.0|0.0,55.65,8443478016,288423936,7374897152,536854528,0,536854528,628589568,351224832,19.6,throttled=0x0
2026-02-18 12:24:38.648559,0.0|0.0|1.0|0.0,57.3,8443478016,288423936,7374897152,536854528,0,536854528,628589568,351273984,19.6,throttled=0x0
2026-02-18 12:24:39.662312,0.0|0.0|0.0|0.0,55.65,8443478016,288423936,7374897152,536854528,0,536854528,628589568,351298560,19.6,throttled=0x0
